"address_id","user_id","address_city","address_country","address_state","address_postcode","address_type"
366235,101519,"Phoenix","United States","Arizona",85025,"Residential"
875375,102346,"Dallas","United States","Texas",75210,"Residential"
765348,102886,"Chicago","United States","Illinois",60604,"Residential"
504952,103145,"Boston","United States","Massachusetts",2283,"Business"
509660,103268,"Phoenix","United States","Arizona",85062,"Residential"
940713,103677,"Cincinnati","United States","Ohio",45254,"Residential"
333359,103798,"Los Angeles","United States","California",90094,"Residential"
552536,103932,"Portland","United States","Oregon",97296,"Residential"
781189,104387,"Hagerstown","United States","Maryland",21747,"Residential"
697589,104506,"Little Rock","United States","Arkansas",11882,"Other"
216938,105066,"Charlotte","United States","North Carolina",14627,"Residential"
846580,106206,"Sacramento","United States","California",94250,"Business"
304237,106956,"Boston","United States","Massachusetts",2283,"Residential"
367292,107902,"El Paso","United States","Texas",72342,"Residential"
618189,108433,"Chicago","United States","Illinois",60663,"Business"
484379,108559,"Phoenix","United States","Arizona",32342,"Business"
132040,109182,"Albany","United States","Georgia",394,"Residential"
227511,109283,"Oklahoma City","United States","Oklahoma",73173,"Residential"
900190,109663,"Seattle","United States","Washington",73873,"Residential"
431041,109692,"Santa Ana","United States","California",92725,"Residential"
150880,113013,"Schenectady","United States","New York",10679,"Residential"
418396,114434,"Denver","United States","Colorado",80204,"Business"
491723,115079,"West Palm Beach","United States","Florida",33416,"Residential"
414565,116898,"El Paso","United States","Texas",33657,"Residential"
633212,117375,"San Jose","United States","California",19034,"Residential"
127703,117743,"Akron","United States","Ohio",44321,"Residential"
328807,117949,"Hollywood","United States","Florida",33023,"Other"
167531,119430,"Albuquerque","United States","New Mexico",78012,"Residential"
6937,119991,"Oklahoma City","United States","Oklahoma",11042,"Residential"
787057,120854,"Simi Valley","United States","California",93094,"Residential"
950796,121459,"Savannah","United States","Georgia",31410,"Residential"
628708,122188,"Charleston","United States","West Virginia",25336,"Residential"
737085,122746,"Dallas","United States","Texas",75310,"Residential"
247904,122749,"Garden Grove","United States","California",48989,"Residential"
321518,123641,"New Haven","United States","Connecticut",6520,"Business"
987973,125402,"Florence","United States","South Carolina",29505,"Residential"
407763,125564,"Dayton","United States","Ohio",45440,"Residential"
400119,127091,"Tampa","United States","Florida",33686,"Residential"
133088,127163,"Omaha","United States","Nebraska",68117,"Business"
218731,128972,"Dallas","United States","Texas",12256,"Residential"
620750,129490,"Littleton","United States","Colorado",19929,"Business"
287755,129618,"Peoria","United States","Illinois",14520,"Residential"
193368,130571,"Fresno","United States","California",93726,"Residential"
86762,133094,"Tucson","United States","Arizona",5239,"Residential"
711662,134693,"Knoxville","United States","Tennessee",37924,"Residential"
182335,137037,"New Orleans","United States","Louisiana",70174,"Business"
112434,137715,"Lancaster","United States","California",6480,"Residential"
514771,137968,"Pasadena","United States","California",91199,"Business"
30114,138947,"Grand Rapids","United States","Michigan",24196,"Business"
997762,140294,"Palatine","United States","Illinois",60078,"Business"
960733,141029,"Pittsburgh","United States","Pennsylvania",15255,"Business"
730158,141408,"Richmond","United States","Virginia",23242,"Residential"
108737,142521,"Chicago","United States","Illinois",42576,"Residential"
331186,143462,"Richmond","United States","Virginia",13400,"Residential"
946738,146322,"Denver","United States","Colorado",80204,"Residential"
216419,146645,"Tulsa","United States","Oklahoma",12439,"Business"
136335,146887,"Maple Plain","United States","Minnesota",55572,"Residential"
324130,147025,"Bryan","United States","Texas",77806,"Residential"
35213,147578,"Richmond","United States","Virginia",13986,"Residential"
295601,148073,"Dayton","United States","Ohio",45440,"Residential"
952056,148364,"Saint Louis","United States","Missouri",63121,"Business"
692191,148579,"Colorado Springs","United States","Colorado",80905,"Residential"
132634,149193,"Dallas","United States","Texas",37803,"Business"
561087,149321,"Tucson","United States","Arizona",66422,"Residential"
299564,149900,"Newport News","United States","Virginia",23612,"Business"
