"order_detail_id","product_id","order_qty","order_price","order_status","order_datetime","user_id"
6344,7610,5,964.45,"Delivered","2023-08-20 19:56:23.076627",101453
4763,1374,3,201.93,"Delivered","2023-08-31 19:50:21.830428",101453
6166,3047,2,443.4,"Delivered","2023-11-30 09:59:08.46303",101453
4658,9079,10,4326.4,"Delivered","2023-09-23 17:01:53.309477",102050
4660,7199,9,3330.72,"Delivered","2023-04-13 23:19:38.504303",102050
6088,4554,5,830.45,"Delivered","2023-02-10 15:56:53.018623",102050
2449,6100,3,955.59,"Delivered","2023-05-03 14:48:08.670968",102795
8905,2992,4,1476.12,"Delivered","2023-04-02 22:55:36.191909",105872
9410,8540,2,304.88,"Delivered","2023-05-01 21:07:02.396904",105872
7094,2375,7,889.56,"Delivered","2023-06-07 10:03:40.216656",105872
4878,2542,8,1898.48,"Delivered","2023-05-08 21:24:37.052459",107353
7081,4424,5,1449.55,"Delivered","2023-09-28 13:46:53.494282",107353
5458,1203,1,221.04,"Delivered","2023-02-01 02:49:08.769334",107353
3810,7090,8,3143.44,"Delivered","2023-11-25 00:21:45.938119",107447
9654,8913,10,217.7,"Delivered","2023-10-03 20:38:08.51691",107447
5854,1339,7,2380.63,"Delivered","2023-03-16 20:38:46.549655",107447
3759,5194,4,1996.6,"Delivered","2023-08-16 14:46:36.219809",108616
4896,6628,6,2821.02,"Delivered","2023-02-19 02:38:10.623719",108638
9037,7970,9,3998.16,"Delivered","2023-08-28 00:41:09.051585",108638
9163,4433,5,487.05,"Delivered","2023-05-24 16:57:51.322458",108638
4176,2236,2,394.06,"Delivered","2023-09-21 10:36:55.120822",109360
4541,6315,2,784.44,"Delivered","2023-05-30 14:16:54.317224",109360
6103,1196,2,489.9,"Delivered","2023-05-20 18:00:36.135833",117701
2373,3137,9,477,"Delivered","2023-08-10 21:44:42.120797",117701
7444,3514,1,405.1,"Delivered","2023-03-08 15:52:34.749696",117701
3129,5322,3,189.6,"Delivered","2023-07-12 22:37:52.837588",122029
5520,9050,9,2785.23,"Delivered","2023-04-02 06:38:17.804636",122029
3625,4978,6,2343.6,"Delivered","2023-01-21 11:30:05.888146",122029
1639,7892,4,1179.88,"Delivered","2023-11-02 09:18:17.757876",122611
4418,5082,8,3043.52,"Delivered","2023-07-09 07:50:47.093497",122976
8418,2785,1,364.51,"Delivered","2023-06-26 16:56:36.069959",122976
7680,2776,9,2690.28,"Delivered","2023-03-12 20:02:17.198183",122976
6672,3258,1,314.24,"Delivered","2023-02-15 21:51:55.929347",126077
8026,8332,4,322.8,"Processing","2023-12-25 23:37:53.707657",127416
2439,7552,3,825.03,"Delivered","2023-05-31 04:22:39.375635",127915
9101,8893,4,1562.4,"Delivered","2023-10-26 13:42:15.737751",127915
8853,2708,10,2703.3,"Delivered","2023-02-09 00:59:48.992",127915
1072,9034,6,2500.8,"Delivered","2023-11-02 01:54:43.461759",128323
1344,2954,9,2681.82,"Delivered","2023-11-28 02:41:34.02177",130444
1104,1609,4,1618.16,"Delivered","2023-11-26 12:54:30.1059",130444
8590,8388,6,2557.68,"Delivered","2023-01-28 12:02:07.715582",130444
3226,5840,3,303.03,"Delivered","2023-07-06 11:53:39.757323",130867
9769,3778,3,251.85,"Delivered","2023-05-02 12:03:48.471945",130867
3319,3360,5,282.2,"Delivered","2023-10-11 02:18:45.130463",130867
8903,4161,8,2530,"Delivered","2023-10-06 05:54:41.134298",131130
9501,9234,6,2944.98,"Delivered","2023-07-29 03:11:32.149293",132179
1369,3065,7,3488.66,"Delivered","2023-11-14 08:17:33.198887",132179
8518,7047,1,375.58,"Delivered","2023-02-28 19:17:41.436957",132224
1048,7822,1,239.91,"Delivered","2023-11-15 22:22:31.714803",132244
2565,8847,4,617.56,"Delivered","2023-01-27 19:13:09.940019",132244
7787,3750,6,2736.18,"Delivered","2023-03-04 12:42:26.827868",132244
2426,8245,3,1306.17,"Delivered","2023-03-20 11:01:02.724276",132274
3846,6470,8,250.56,"Delivered","2023-10-06 00:35:29.382375",132274
6027,8214,3,81.3,"Delivered","2023-06-05 17:22:19.036645",132274
6933,3327,6,83.82,"Delivered","2023-03-31 14:13:23.580849",133734
8179,6745,10,4820.4,"Delivered","2023-02-16 22:31:21.247316",133951
6796,8353,1,462.57,"Delivered","2023-02-15 19:30:51.588294",133951
4839,6823,1,297.86,"Delivered","2023-09-26 09:41:14.810113",133951
7429,3016,1,253.26,"Delivered","2023-07-18 06:33:48.488293",134865
3652,9332,2,759.24,"Delivered","2023-07-07 22:53:56.189233",134865
4113,1905,3,865.74,"Delivered","2023-03-31 09:46:25.400301",134865
2758,8117,1,460.99,"Delivered","2023-02-03 09:30:48.330308",135403
8132,6142,4,331.8,"Delivered","2023-10-02 05:13:28.006816",136072
2475,5293,7,1879.01,"Delivered","2023-08-28 04:14:40.309072",136072
5593,6231,5,2005.85,"Delivered","2023-03-30 07:48:11.292693",136687
4287,3456,3,187.65,"Delivered","2023-11-16 22:59:41.847426",136687
7612,3435,5,279.75,"Delivered","2023-07-17 08:01:32.018022",136687
8916,7202,10,3945.5,"Delivered","2023-10-03 15:41:50.83454",137252
2182,8403,9,4057.2,"Delivered","2023-10-05 12:45:28.14855",137252
3245,3138,1,98.84,"Delivered","2023-02-25 18:01:42.725977",138365
3775,1234,10,1646.7,"Delivered","2023-11-12 14:53:54.20122",138365
7025,1578,1,318.38,"Delivered","2023-09-15 02:09:49.724998",139262
4836,2122,1,472.79,"Delivered","2023-09-13 13:11:15.321127",140356
3687,4144,2,882.64,"Delivered","2023-05-18 14:37:23.833306",140356
