"seller_id","seller_name","seller_address","seller_delivery_method"
6550,"Seller ZSeller FSeller R","Seller Address 52","Pickup"
7162,"Seller OSeller NSeller P","Seller Address 91","Express Shipping"
2100,"Seller HSeller LSeller P","Seller Address 45","Courier"
4860,"Seller MSeller ISeller I","Seller Address 7","Pickup"
9309,"Seller LSeller NSeller I","Seller Address 56","Courier"
2158,"Seller JSeller WSeller U","Seller Address 90","Standard Shipping"
6241,"Seller JSeller USeller C","Seller Address 40","Courier"
9827,"Seller YSeller SSeller W","Seller Address 17","Pickup"
3074,"Seller PSeller SSeller K","Seller Address 66","Standard Shipping"
8712,"Seller ESeller YSeller J","Seller Address 69","Express Shipping"
2579,"Seller SSeller XSeller O","Seller Address 34","Express Shipping"
1400,"Seller CSeller JSeller J","Seller Address 37","Courier"
8927,"Seller SSeller LSeller X","Seller Address 2","Express Shipping"
2835,"Seller ZSeller MSeller J","Seller Address 20","Courier"
1905,"Seller FSeller QSeller G","Seller Address 63","Express Shipping"
5220,"Seller ASeller DSeller H","Seller Address 36","Pickup"
5817,"Seller LSeller CSeller W","Seller Address 60","Standard Shipping"
8717,"Seller BSeller ESeller A","Seller Address 48","Express Shipping"
6601,"Seller MSeller FSeller B","Seller Address 55","Courier"
1792,"Seller GSeller WSeller C","Seller Address 52","Courier"
1939,"Seller ASeller QSeller T","Seller Address 30","Standard Shipping"
2519,"Seller NSeller ESeller Z","Seller Address 83","Courier"
8797,"Seller WSeller ISeller F","Seller Address 13","Courier"
7425,"Seller KSeller HSeller L","Seller Address 51","Courier"
5265,"Seller NSeller TSeller E","Seller Address 70","Pickup"
9326,"Seller VSeller USeller V","Seller Address 38","Standard Shipping"
8761,"Seller DSeller VSeller J","Seller Address 32","Pickup"
9794,"Seller SSeller FSeller V","Seller Address 36","Pickup"
5367,"Seller LSeller PSeller T","Seller Address 17","Courier"
4384,"Seller USeller MSeller Y","Seller Address 47","Pickup"
8427,"Seller RSeller MSeller Q","Seller Address 92","Courier"
1340,"Seller SSeller JSeller W","Seller Address 88","Standard Shipping"
1652,"Seller MSeller RSeller A","Seller Address 56","Standard Shipping"
2416,"Seller FSeller PSeller K","Seller Address 41","Express Shipping"
6094,"Seller JSeller OSeller Q","Seller Address 69","Express Shipping"
5070,"Seller MSeller BSeller M","Seller Address 54","Pickup"
9559,"Seller ASeller TSeller C","Seller Address 27","Express Shipping"
5192,"Seller ESeller NSeller X","Seller Address 64","Standard Shipping"
1514,"Seller CSeller WSeller W","Seller Address 9","Courier"
1391,"Seller QSeller YSeller I","Seller Address 9","Express Shipping"
5503,"Seller XSeller VSeller B","Seller Address 77","Express Shipping"
9167,"Seller OSeller VSeller N","Seller Address 91","Express Shipping"
9603,"Seller YSeller ZSeller R","Seller Address 82","Courier"
9444,"Seller PSeller FSeller D","Seller Address 12","Express Shipping"
2510,"Seller JSeller BSeller W","Seller Address 17","Pickup"
2082,"Seller USeller QSeller I","Seller Address 48","Express Shipping"
1643,"Seller GSeller CSeller E","Seller Address 44","Standard Shipping"
6619,"Seller NSeller YSeller R","Seller Address 94","Pickup"
2742,"Seller KSeller RSeller F","Seller Address 7","Express Shipping"
4812,"Seller TSeller ASeller D","Seller Address 54","Express Shipping"
1936,"Seller JSeller MSeller L","Seller Address 78","Courier"
5559,"Seller HSeller CSeller A","Seller Address 51","Courier"
3628,"Seller QSeller USeller W","Seller Address 88","Pickup"
2088,"Seller OSeller ISeller B","Seller Address 23","Express Shipping"
3842,"Seller PSeller OSeller S","Seller Address 39","Courier"
7078,"Seller USeller DSeller V","Seller Address 7","Pickup"
8191,"Seller PSeller DSeller L","Seller Address 6","Express Shipping"
4613,"Seller OSeller CSeller F","Seller Address 10","Express Shipping"
5428,"Seller WSeller NSeller N","Seller Address 8","Courier"
4677,"Seller DSeller LSeller L","Seller Address 33","Pickup"
7839,"Seller RSeller OSeller H","Seller Address 15","Standard Shipping"
7845,"Seller USeller ZSeller N","Seller Address 40","Standard Shipping"
4999,"Seller RSeller SSeller E","Seller Address 42","Express Shipping"
8780,"Seller JSeller ASeller W","Seller Address 28","Standard Shipping"
8571,"Seller BSeller RSeller L","Seller Address 66","Pickup"
7088,"Seller KSeller ZSeller I","Seller Address 90","Express Shipping"
7833,"Seller LSeller NSeller K","Seller Address 15","Pickup"
