"delivery_id","delivery_type","delivery_status","delivery_datetime","user_id","order_detail_id","shipper_id","product_id"
5802,"Pickup","Delivered","2023-02-23 14:46:51.086939",100392,1745,4833,8748
2838,"Standard","Delivered","2023-04-01 23:33:15.983896",100392,4901,NA,2500
9329,"Standard","Delivered","2023-02-16 03:57:56.77398",101607,6225,NA,5253
3856,"Standard","Pending",NA,101607,6781,NA,8438
6110,"Express","Delivered","2023-08-02 11:20:41.009235",101607,2804,9695,8913
2506,"Standard","Delivered","2023-10-20 09:12:48.746102",102710,9440,7505,4329
6560,"Pickup","Delivered","2023-11-21 08:33:58.805933",103338,5480,NA,4250
5131,"Express","Delivered","2023-02-22 01:44:23.127565",103338,9193,7587,2707
1656,"Same-Day","Delivered","2023-03-08 05:37:20.267403",103338,3381,NA,1130
1089,"Standard","Delivered","2023-06-01 08:45:22.019327",103720,5600,NA,3362
3798,"Express","Delivered","2023-07-23 13:19:12.847968",103720,1076,7708,2277
1142,"Standard","Delivered","2023-02-18 04:46:45.065842",104148,8858,NA,6568
3393,"Standard","Delivered","2023-10-08 04:31:10.158602",104148,7071,4833,3626
8750,"Express","Delivered","2023-09-12 04:09:14.532444",104531,9272,2449,5211
3607,"Same-Day","Delivered","2023-10-10 14:08:21.101641",105774,4247,NA,7654
9005,"Pickup","Delivered","2023-03-09 11:45:42.208374",105774,4456,NA,4870
1192,"Same-Day","Delivered","2023-11-07 13:20:22.618038",106058,1770,NA,8388
5744,"Express","Delivered","2023-08-17 15:48:53.525589",106221,1182,9271,4036
5374,"Same-Day","Delivered","2023-06-17 13:05:54.734896",106221,5541,NA,9402
5978,"Standard","Delivered","2023-10-31 03:23:24.877393",106221,9517,2449,2203
8613,"Pickup","Delivered","2023-10-28 08:42:06.86772",106780,9792,NA,2691
8840,"Same-Day","Delivered","2023-11-24 18:28:41.627817",106780,2329,9271,9105
5175,"Standard","Delivered","2023-11-07 11:55:26.757567",106780,4113,NA,9165
8728,"Pickup","Delivered","2023-09-23 17:22:17.013099",106835,2335,2449,9015
9988,"Express","Delivered","2023-10-08 00:36:51.050711",107059,3392,NA,8644
