"order_detail_id","category_id","product_id","order_qty","order_price","order_status","order_datetime","user_id","payment_method"
1745,4,8748,3,109.02,"Delivered","2023-02-16 11:15:50.568625",100392,"Debit Card"
4901,4,2500,4,147.32,"Delivered","2023-03-19 02:28:39.352546",100392,"Debit Card"
6225,4,5253,5,281.45,"Delivered","2023-02-13 06:44:12.891988",101607,"Credit Card"
6781,4,8438,4,338.72,"Processing","2023-12-16 14:51:56.221936",101607,"PayPal"
2804,4,8913,10,1500,"Delivered","2023-08-01 08:52:19.058948",101607,"PayPal"
9440,5,4329,9,2904.21,"Delivered","2023-10-13 19:27:13.394386",102710,"Credit Card"
5480,6,4250,2,455.62,"Delivered","2023-11-11 09:40:34.202649",103338,"Credit Card"
9193,6,2707,4,625,"Delivered","2023-02-11 21:51:50.661583",103338,"Debit Card"
3381,6,1130,10,3191.1,"Delivered","2023-03-04 04:10:22.511798",103338,"Credit Card"
5600,3,3362,1,453,"Delivered","2023-05-29 00:35:47.884266",103720,"Debit Card"
1076,3,2277,6,662.4,"Delivered","2023-07-19 12:06:03.812108",103720,"Debit Card"
8858,3,6568,6,1429.74,"Delivered","2023-02-11 16:43:54.199619",104148,"Debit Card"
7071,3,3626,10,4156.9,"Delivered","2023-10-02 13:01:06.139238",104148,"PayPal"
9272,4,5211,6,838.38,"Delivered","2023-09-10 11:37:51.920662",104531,"Debit Card"
4247,2,7654,9,2669.4,"Delivered","2023-09-30 08:26:04.063105",105774,"Debit Card"
4456,2,4870,1,73.51,"Delivered","2023-03-01 04:11:09.231038",105774,"Debit Card"
1770,3,8388,4,1172.76,"Delivered","2023-10-24 16:50:50.246125",106058,"Credit Card"
1182,3,4036,9,936.09,"Delivered","2023-08-05 14:58:37.376308",106221,"Debit Card"
5541,3,9402,7,1425.69,"Delivered","2023-06-10 23:37:29.830136",106221,"PayPal"
9517,3,2203,5,372.8,"Delivered","2023-10-30 02:22:21.243593",106221,"Credit Card"
9792,3,2691,1,85.89,"Delivered","2023-10-25 22:26:58.415308",106780,"PayPal"
2329,3,9105,6,1571.16,"Delivered","2023-11-18 17:46:06.854127",106780,"Debit Card"
4113,3,9165,8,2979.76,"Delivered","2023-10-25 22:23:05.081792",106780,"Debit Card"
2335,3,9015,1,90.85,"Delivered","2023-09-09 18:17:22.595994",106835,"Credit Card"
3392,3,8644,8,378.16,"Delivered","2023-09-27 20:32:41.879253",107059,"Credit Card"
6533,3,1489,1,406.98,"Delivered","2023-04-26 16:25:20.749694",107821,"PayPal"
5813,3,7494,6,815.46,"Delivered","2023-10-17 21:16:33.211511",107821,"PayPal"
